yr,sex,FirstForename,number,rank,position
2000,B,Brendon,2,514,  514=
2000,B,Brennan,2,514,  514=
2000,B,Bret,2,514,  514=
2000,B,Brodi,2,514,  514=
2000,B,Bryden,2,514,  514=
2000,B,Caine,2,514,  514=
2000,B,Cairan,2,514,  514=
2000,B,Cairo,2,514,  514=
2000,B,Calan,2,514,  514=
2000,B,Calder,2,514,  514=
2000,B,Carlos,2,514,  514=
2000,B,Chandler,2,514,  514=
2000,B,Christy,2,514,  514=
2000,B,Coby,2,514,  514=
2000,B,Cohen,2,514,  514=
2000,B,Conar,2,514,  514=
2000,B,Conlyn,2,514,  514=
2000,B,Connaire,2,514,  514=
2000,B,Connel,2,514,  514=
2000,B,Connell,2,514,  514=
2000,B,Corban,2,514,  514=
2000,B,Corben,2,514,  514=
2000,B,Corran,2,514,  514=
2000,B,Daniyal,2,514,  514=
2000,B,Dante,2,514,  514=
2000,B,Darragh,2,514,  514=
2000,B,Darroch,2,514,  514=
2000,B,Darryn,2,514,  514=
2000,B,Davis,2,514,  514=
2000,B,Dawson,2,514,  514=
2000,B,Decklin,2,514,  514=
2000,B,Dennis,2,514,  514=
2000,B,Denver,2,514,  514=
2000,B,Dermot,2,514,  514=
2000,B,Derry,2,514,  514=
2000,B,Dexter,2,514,  514=
2000,B,Dimitri,2,514,  514=
2000,B,Dirk,2,514,  514=
2000,B,Dominik,2,514,  514=
2000,B,Dougal,2,514,  514=
2000,B,Dylon,2,514,  514=
2000,B,Edan,2,514,  514=
2000,B,Elijah,2,514,  514=
2000,B,Emmanuel,2,514,  514=
2000,B,Fahed,2,514,  514=
2000,B,Farhan,2,514,  514=
2000,B,Fergal,2,514,  514=
2000,B,Finnley,2,514,  514=
2000,B,Frankie,2,514,  514=
2000,B,Fynn,2,514,  514=
2000,B,Gabe,2,514,  514=
2000,B,Garth,2,514,  514=
2000,B,Gerry,2,514,  514=
2000,B,Giorgio,2,514,  514=
2000,B,Giuseppe,2,514,  514=
2000,B,Grady,2,514,  514=
2000,B,Gus,2,514,  514=
2000,B,Haider,2,514,  514=
2000,B,Hamza,2,514,  514=
2000,B,Haroun,2,514,  514=
2000,B,Hashim,2,514,  514=
2000,B,Jaime,2,514,  514=
2000,B,Jamal,2,514,  514=
2000,B,Jameel,2,514,  514=
2000,B,Jamil,2,514,  514=
2000,B,Jarred,2,514,  514=
2000,B,Jaye,2,514,  514=
2000,B,Jayson,2,514,  514=
2000,B,Jeevan,2,514,  514=
2000,B,Jenson,2,514,  514=
2000,B,Jeremy,2,514,  514=
2000,B,Johannes,2,514,  514=
2000,B,John-Paul,2,514,  514=
2000,B,Jordan-James,2,514,  514=
2000,B,Jordan-Lee,2,514,  514=
2000,B,Josiah,2,514,  514=
2000,B,Joss,2,514,  514=
2000,B,Jozef,2,514,  514=
2000,B,Julian,2,514,  514=
2000,B,Junaid,2,514,  514=
2000,B,Junior,2,514,  514=
2000,B,Kaine,2,514,  514=
2000,B,Kale,2,514,  514=
2000,B,Kalum,2,514,  514=
2000,B,Kamal,2,514,  514=
2000,B,Karl,2,514,  514=
2000,B,Kasey,2,514,  514=
2000,B,Kaspar,2,514,  514=
2000,B,Keanu,2,514,  514=
2000,B,Keeran,2,514,  514=
2000,B,Kenzie,2,514,  514=
2000,B,Kern,2,514,  514=
2000,B,Kiaran,2,514,  514=
2000,B,Kierran,2,514,  514=
2000,B,Kye,2,514,  514=
2000,B,Kylan,2,514,  514=
2000,B,Lawrie,2,514,  514=
2000,B,Lawson,2,514,  514=
2000,B,Layton,2,514,  514=
2000,B,Lewys,2,514,  514=
2000,B,Lomond,2,514,  514=
2000,B,Lorne,2,514,  514=
2000,B,Macauley,2,514,  514=
2000,B,Malik,2,514,  514=
2000,B,Marti,2,514,  514=
2000,B,Matteo,2,514,  514=
2000,B,Michele,2,514,  514=
2000,B,Mika,2,514,  514=
2000,B,Milan,2,514,  514=
2000,B,Miles,2,514,  514=
2000,B,Milo,2,514,  514=
2000,B,Mohsin,2,514,  514=
2000,B,Morton,2,514,  514=
2000,B,Muaaz,2,514,  514=
2000,B,Neal,2,514,  514=
2000,B,Nelson,2,514,  514=
2000,B,Nicoll,2,514,  514=
2000,B,Nik,2,514,  514=
2000,B,Nikolas,2,514,  514=
2000,B,Nils,2,514,  514=
2000,B,Noel,2,514,  514=
2000,B,Odin,2,514,  514=
2000,B,Oisin,2,514,  514=
2000,B,Oren,2,514,  514=
2000,B,Osama,2,514,  514=
